'Group',
'Collective',
'Crew',
'Krew',
'Confederate',
'Union',
'Brokers',
'Organisation',
'Crowd',
'Faction',
'Cluster',
'Team',
'Company',
'Conglomerate',
'Consolidation',
'Gang',
'Legion',
'Security',
'Army'
